id,picture,country,price,authority,date,org_fined,articleViolated,type,source,summary
1,https://www.privacyaffairs.com/wp-content/uploads/2019/10/republic-of-poland.svg,Poland,9380,Polish National Personal Data Protection Office (UODO),NA,Polish Mayor,Art. 28 GDPR,Non-compliance with lawful basis for data processing,https://uodo.gov.pl/decyzje/ZSPU.421.3.2019,"<p>No data processing agreement has been concluded with the company whose servers contained the resources of the Public Information Bulletin (BIP) of the Municipal Office in Aleksandrów Kujawski. For this reason, a fine of 40.000 PLN (9400 EUR) was imposed on the mayor of the city.</p>
"
2,https://www.privacyaffairs.com/wp-content/uploads/2019/10/romania.svg,Romania,2500,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),NA,UTTIS INDUSTRIES,"Art. 12 GDPR, Art. 13 GDPR, Art. 5 (1) c) GDPR, Art. 6 GDPR",Information obligation non-compliance,https://www.dataprotection.ro/?page=A_patra_amenda&lang=ro,"<p>A controller was sanctioned because he had unlawfully processed the personal data (CNP), and images of employees obtained through the surveillance system. The disclosure of the CNP in a report for the ISCIR training in 2018 wasn’t legal, as per Art.6 GDPR.</p>
"
3,https://www.privacyaffairs.com/wp-content/uploads/2019/10/spain.svg,Spain,60000,Spanish Data Protection Authority (AEPD),NA,Xfera Moviles S.A.,"Art. 5 GDPR, Art. 6 GDPR",Non-compliance with lawful basis for data processing,https://www.aepd.es/resoluciones/PS-00262-2019_ORI.pdf,"<p>The company had unlawfully processed the personal data despite the subject’s request to stop doing so.</p>
"
4,https://www.privacyaffairs.com/wp-content/uploads/2019/10/spain.svg,Spain,8000,Spanish Data Protection Authority (AEPD),NA,Iberdrola Clientes,Art. 31 GDPR,Failure to cooperate with supervisory authority,https://www.aepd.es/resoluciones/PS-00304-2019_ORI.pdf,"<p>Iberdrola Clientes violated Article 13 of the GDPR when it showed a complete lack of cooperation with the AEPD. The latter had requested Iberdrola Clientes to provide the necessary information needed to add a person to the solvency list.</p>
"
5,https://www.privacyaffairs.com/wp-content/uploads/2019/10/romania.svg,Romania,150000,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-09-10,Raiffeisen Bank SA,Art. 32 GDPR,Failure to implement sufficient measures to ensure information security,https://www.dataprotection.ro/?page=Comunicat_Presa_09_10_2019&lang=ro,"<p>Raiffeisen Bank Romania did not observe the necessary security measures required by the GDPR when it assessed the scores of individuals on the WhatsApp platform. The personal data was exchanged via WhatsApp.</p>
"
6,https://www.privacyaffairs.com/wp-content/uploads/2019/10/romania.svg,Romania,20000,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2019-09-10,Vreau Credit SRL,"Art. 32 GDPR, Art. 33 GDPR",Failure to implement sufficient measures to ensure information security,https://www.dataprotection.ro/?page=Comunicat_Presa_09_10_2019&lang=ro,"<p>The Company sent personal information through the WhatsApp platform to Raiffeisen Bank in order to facilitate the assessment of personal scores. The results were returned on the same platform.</p>
"
7,https://www.privacyaffairs.com/wp-content/uploads/2019/10/greece.svg,Greece,200000,Hellenic Data Protection Authority (HDPA),2019-07-10,Telecommunication Service Provider,"Art. 5 (1) c) GDPR, Art. 25 GDPR",Failure to comply with data processing principles,"https://www.dpa.gr/APDPXPortlets/htdocs/documentSDisplay.jsp?docid=3,241,32,146,79,143,149,112","<p>Despite the clear refusal of telemarketing calls by the customers, the company proceeded to ignore this because of technical errors.</p>
"
8,https://www.privacyaffairs.com/wp-content/uploads/2019/10/greece.svg,Greece,200000,Hellenic Data Protection Authority (HDPA),2019-07-10,Telecommunication Service Provider,"Art. 21 (3) GDPR, Art. 25 GDPR",Failure to comply with data processing principles,"https://www.dpa.gr/APDPXPortlets/htdocs/documentSDisplay.jsp?docid=3,241,32,146,79,143,149,112","<p>Due to technical errors, the personal data of 8.000 customers wasn&#8217;t deleted upon request</p>
"
9,https://www.privacyaffairs.com/wp-content/uploads/2019/10/spain.svg,Spain,30000,Spanish Data Protection Authority (AEPD),2019-01-10,Vueling Airlines,"Art. 5 GDPR, Art. 6 GDPR",Non-compliance with lawful basis for data processing,https://www.aepd.es/resoluciones/PS-00300-2019_ORI.pdf,"<p>Vueling Airlines made it impossible for users to access their website without accepting the cookies. Therefore, one couldn’t browse the website unless they accepted the cookies. The AEPD sanctioned the company with 30.000 euros</p>
"
10,https://www.privacyaffairs.com/wp-content/uploads/2019/10/romania.svg,Romania,9000,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),NA,Inteligo Media SA,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Non-compliance with lawful basis for data processing,https://www.dataprotection.ro/?page=Alta_sanctiune_RGPD&lang=ro,"<p>An operator utilized an unfilled checkbox through which users could request that they do not receive any emails from the company. Since they couldn’t do that, they continued receiving information via email.</p>
"
